t,q(t),i(t)
0.000000,0.000000,0.000000
0.001000,0.000000,0.000993
0.002000,0.000003,0.003934
0.003000,0.000009,0.008755
0.004000,0.000021,0.015369
0.005000,0.000040,0.023671
0.006000,0.000069,0.033540
0.007000,0.000108,0.044840
0.008000,0.000159,0.057420
0.009000,0.000223,0.071117
0.010000,0.000301,0.085759
0.011000,0.000395,0.101163
0.012000,0.000504,0.117139
0.013000,0.000629,0.133492
0.014000,0.000771,0.150024
0.015000,0.000929,0.166534
0.016000,0.001104,0.182824
0.017000,0.001295,0.198698
0.018000,0.001501,0.213962
0.019000,0.001722,0.228432
0.020000,0.001958,0.241930
0.021000,0.002206,0.254290
0.022000,0.002466,0.265355
0.023000,0.002736,0.274984
0.024000,0.003015,0.283050
0.025000,0.003302,0.289440
0.026000,0.003593,0.294062
0.027000,0.003889,0.296838
0.028000,0.004186,0.297712
0.029000,0.004484,0.296645
0.030000,0.004779,0.293620
0.031000,0.005070,0.288638
0.032000,0.005356,0.281720
0.033000,0.005633,0.272909
0.034000,0.005901,0.262264
0.035000,0.006157,0.249866
0.036000,0.006400,0.235811
0.037000,0.006628,0.220213
0.038000,0.006840,0.203203
0.039000,0.007034,0.184925
0.040000,0.007210,0.165536
0.041000,0.007365,0.145206
0.042000,0.007500,0.124112
0.043000,0.007613,0.102442
0.044000,0.007704,0.080387
0.045000,0.007774,0.058146
0.046000,0.007821,0.035917
0.047000,0.007846,0.013900
0.048000,0.007849,-0.007708
0.049000,0.007830,-0.028714
0.050000,0.007792,-0.048929
0.051000,0.007733,-0.068172
0.052000,0.007656,-0.086272
0.053000,0.007561,-0.103070
0.054000,0.007450,-0.118417
0.055000,0.007324,-0.132182
0.056000,0.007186,-0.144245
0.057000,0.007037,-0.154506
0.058000,0.006878,-0.162882
0.059000,0.006711,-0.169308
0.060000,0.006540,-0.173738
0.061000,0.006365,-0.176145
0.062000,0.006188,-0.176525
0.063000,0.006012,-0.174891
0.064000,0.005839,-0.171277
0.065000,0.005670,-0.165735
0.066000,0.005508,-0.158338
0.067000,0.005354,-0.149176
0.068000,0.005210,-0.138357
0.069000,0.005078,-0.126005
0.070000,0.004959,-0.112259
0.071000,0.004854,-0.097272
0.072000,0.004765,-0.081208
0.073000,0.004692,-0.064243
0.074000,0.004636,-0.046560
0.075000,0.004599,-0.028351
0.076000,0.004580,-0.009812
0.077000,0.004579,0.008859
0.078000,0.004598,0.027462
0.079000,0.004634,0.045798
0.080000,0.004689,0.063670
0.081000,0.004761,0.080887
0.082000,0.004850,0.097265
0.083000,0.004956,0.112628
0.084000,0.005075,0.126811
0.085000,0.005209,0.139661
0.086000,0.005354,0.151037
0.087000,0.005510,0.160815
0.088000,0.005675,0.168886
0.089000,0.005847,0.175158
0.090000,0.006025,0.179560
0.091000,0.006206,0.182036
0.092000,0.006388,0.182552
0.093000,0.006570,0.181092
0.094000,0.006750,0.177663
0.095000,0.006925,0.172289
0.096000,0.007094,0.165014
0.097000,0.007254,0.155902
0.098000,0.007405,0.145036
0.099000,0.007544,0.132515
